
WARNING: Elevated privileges required for the following metrics:
  - Metric 0 (GPU_UTILIZATION) - will display as N/A
  - Metric 3 (GPU_CORE_TEMPERATURE) - will display as N/A
  - Metric 17 (MEMORY_BANDWIDTH) - will display as N/A
  - Metric 22 (COMPUTE_ENGINE_UTILIZATION) - will display as N/A
  - Metric 26 (COPY_ENGINE_UTILIZATION) - will display as N/A
  - Metric 31 (COMPUTE_ENGINE_GROUP_UTILIZATION) - will display as N/A

These metrics require access to MEI devices for GPU telemetry.
Please run with elevated privileges (sudo) to collect these metrics.

Timestamp, DeviceId, Average % utilization of all GPU Engines, GPU Power (W), GPU Frequency (MHz), GPU Core Temperature (Celsius Degree), GPU Memory Utilization (%), GPU Memory Bandwidth Utilization (%), GPU Memory Used (MiB), PCIe Read (kB/s), PCIe Write (kB/s), Compute Engine (%), Copy Engine (%), Compute engine group utilization (%), Throttle reason
20:58:51.409,    3,  N/A, 116.09, 2800,  N/A, 99.99,  N/A, 32655.85,    0,    0,  N/A,  N/A,  N/A, Not Throttled
20:58:52.409,    0,  N/A, 112.00, 2800,  N/A, 99.99,  N/A, 32655.98,    0,    0,  N/A,  N/A,  N/A, Not Throttled
20:58:52.409,    1,  N/A, 113.87, 2800,  N/A, 99.99,  N/A, 32655.98,    0,    0,  N/A,  N/A,  N/A, Not Throttled
20:58:52.409,    2,  N/A, 111.30, 2800,  N/A, 99.99,  N/A, 32655.96,    0,    0,  N/A,  N/A,  N/A, Not Throttled
20:58:52.409,    3,  N/A, 115.75, 2800,  N/A, 99.99,  N/A, 32655.85,    0,    0,  N/A,  N/A,  N/A, Not Throttled
20:58:53.409,    0,  N/A, 119.55, 2800,  N/A, 99.99,  N/A, 32655.98,    0,    0,  N/A,  N/A,  N/A, Not Throttled
20:58:53.409,    1,  N/A, 120.19, 2800,  N/A, 99.99,  N/A, 32655.98,    0,    0,  N/A,  N/A,  N/A, Not Throttled
20:58:53.409,    2,  N/A, 118.05, 2800,  N/A, 99.99,  N/A, 32655.96,    0,    0,  N/A,  N/A,  N/A, Not Throttled
20:58:53.409,    3,  N/A, 120.26, 2800,  N/A, 99.99,  N/A, 32655.85,    0,    0,  N/A,  N/A,  N/A, Not Throttled
20:58:54.409,    0,  N/A, 112.49, 2800,  N/A, 99.99,  N/A, 32655.98,    0,    0,  N/A,  N/A,  N/A, Not Throttled
20:58:54.409,    1,  N/A, 114.06, 2800,  N/A, 99.99,  N/A, 32655.98,    0,    0,  N/A,  N/A,  N/A, Not Throttled
20:58:54.409,    2,  N/A, 111.02, 2800,  N/A, 99.99,  N/A, 32655.96,    0,    0,  N/A,  N/A,  N/A, Not Throttled
20:58:54.409,    3,  N/A, 114.54, 2800,  N/A, 99.99,  N/A, 32655.85,    0,    0,  N/A,  N/A,  N/A, Not Throttled
20:58:55.409,    0,  N/A, 112.31, 2800,  N/A, 99.99,  N/A, 32655.98,    0,    0,  N/A,  N/A,  N/A, Not Throttled
20:58:55.409,    1,  N/A, 114.37, 2800,  N/A, 99.99,  N/A, 32655.98,    0,    0,  N/A,  N/A,  N/A, Not Throttled
20:58:55.409,    2,  N/A, 110.87, 2800,  N/A, 99.99,  N/A, 32655.96,    0,    0,  N/A,  N/A,  N/A, Not Throttled
20:58:55.409,    3,  N/A, 115.15, 2800,  N/A, 99.99,  N/A, 32655.85,    0,    0,  N/A,  N/A,  N/A, Not Throttled
20:58:56.409,    0,  N/A, 112.49, 2800,  N/A, 99.99,  N/A, 32655.98,    0,    0,  N/A,  N/A,  N/A, Not Throttled
20:58:56.409,    1,  N/A, 114.36, 2800,  N/A, 99.99,  N/A, 32655.98,    0,    0,  N/A,  N/A,  N/A, Not Throttled
20:58:56.409,    2,  N/A, 111.41, 2800,  N/A, 99.99,  N/A, 32655.96,    0,    0,  N/A,  N/A,  N/A, Not Throttled
20:58:56.409,    3,  N/A, 114.99, 2800,  N/A, 99.99,  N/A, 32655.85,    0,    0,  N/A,  N/A,  N/A, Not Throttled
20:58:57.409,    0,  N/A, 112.84, 2800,  N/A, 99.99,  N/A, 32655.98,    0,    0,  N/A,  N/A,  N/A, Not Throttled
20:58:57.409,    1,  N/A, 114.30, 2800,  N/A, 99.99,  N/A, 32655.98,    0,    0,  N/A,  N/A,  N/A, Not Throttled
20:58:57.409,    2,  N/A, 111.41, 2800,  N/A, 99.99,  N/A, 32655.96,    0,    0,  N/A,  N/A,  N/A, Not Throttled
20:58:57.409,    3,  N/A, 115.14, 2800,  N/A, 99.99,  N/A, 32655.85,    0,    0,  N/A,  N/A,  N/A, Not Throttled
20:58:58.409,    0,  N/A, 112.08, 2800,  N/A, 99.99,  N/A, 32655.98,    0,    0,  N/A,  N/A,  N/A, Not Throttled
20:58:58.409,    1,  N/A, 114.03, 2800,  N/A, 99.99,  N/A, 32655.98,    0,    0,  N/A,  N/A,  N/A, Not Throttled
20:58:58.409,    2,  N/A, 111.24, 2800,  N/A, 99.99,  N/A, 32655.96,    0,    0,  N/A,  N/A,  N/A, Not Throttled
20:58:58.409,    3,  N/A, 114.99, 2800,  N/A, 99.99,  N/A, 32655.85,    0,    0,  N/A,  N/A,  N/A, Not Throttled
20:58:59.409,    0,  N/A, 112.43, 2800,  N/A, 99.99,  N/A, 32655.98,    0,    0,  N/A,  N/A,  N/A, Not Throttled
20:58:59.409,    1,  N/A, 114.63, 2800,  N/A, 99.99,  N/A, 32655.98,    0,    0,  N/A,  N/A,  N/A, Not Throttled
20:58:59.409,    2,  N/A, 110.60, 2800,  N/A, 99.99,  N/A, 32655.96,    0,    0,  N/A,  N/A,  N/A, Not Throttled
20:58:59.409,    3,  N/A, 114.92, 2800,  N/A, 99.99,  N/A, 32655.85,    0,    0,  N/A,  N/A,  N/A, Not Throttled
20:59:00.409,    0,  N/A, 113.17, 2800,  N/A, 99.99,  N/A, 32655.98,    0,    0,  N/A,  N/A,  N/A, Not Throttled
20:59:00.409,    1,  N/A, 114.49, 2800,  N/A, 99.99,  N/A, 32655.98,    0,    0,  N/A,  N/A,  N/A, Not Throttled
20:59:00.409,    2,  N/A, 110.84, 2800,  N/A, 99.99,  N/A, 32655.96,    0,    0,  N/A,  N/A,  N/A, Not Throttled
20:59:00.409,    3,  N/A, 115.39, 2800,  N/A, 99.99,  N/A, 32655.85,    0,    0,  N/A,  N/A,  N/A, Not Throttled
20:59:01.409,    0,  N/A, 113.45, 2800,  N/A, 99.99,  N/A, 32655.98,    0,    0,  N/A,  N/A,  N/A, Not Throttled
20:59:01.409,    1,  N/A, 114.78, 2800,  N/A, 99.99,  N/A, 32655.98,    0,    0,  N/A,  N/A,  N/A, Not Throttled
20:59:01.409,    2,  N/A, 111.73, 2800,  N/A, 99.99,  N/A, 32655.96,    0,    0,  N/A,  N/A,  N/A, Not Throttled
20:59:01.409,    3,  N/A, 115.24, 2800,  N/A, 99.99,  N/A, 32655.85,    0,    0,  N/A,  N/A,  N/A, Not Throttled
20:59:02.409,    0,  N/A, 113.17, 2800,  N/A, 99.99,  N/A, 32655.98,    0,    0,  N/A,  N/A,  N/A, Not Throttled
20:59:02.409,    1,  N/A, 115.09, 2800,  N/A, 99.99,  N/A, 32655.98,    0,    0,  N/A,  N/A,  N/A, Not Throttled
20:59:02.409,    2,  N/A, 111.69, 2800,  N/A, 99.99,  N/A, 32655.96,    0,    0,  N/A,  N/A,  N/A, Not Throttled
20:59:02.409,    3,  N/A, 115.20, 2800,  N/A, 99.99,  N/A, 32655.85,    0,    0,  N/A,  N/A,  N/A, Not Throttled
20:59:03.409,    0,  N/A, 112.95, 2800,  N/A, 99.99,  N/A, 32655.98,    0,    0,  N/A,  N/A,  N/A, Not Throttled
20:59:03.409,    1,  N/A, 114.74, 2800,  N/A, 99.99,  N/A, 32655.98,    0,    0,  N/A,  N/A,  N/A, Not Throttled
20:59:03.409,    2,  N/A, 111.40, 2800,  N/A, 99.99,  N/A, 32655.96,    0,    0,  N/A,  N/A,  N/A, Not Throttled
20:59:03.409,    3,  N/A, 115.06, 2800,  N/A, 99.99,  N/A, 32655.85,    0,    0,  N/A,  N/A,  N/A, Not Throttled
